Ensembl Gene ID	Ensembl Transcript ID	Associated Gene Name
ENSG00000229904	ENST00000391570	CR381670.5-1
ENSG00000227328	ENST00000416067	CR392039.8-1
ENSG00000227328	ENST00000453300	CR392039.8-1
ENSG00000224777	ENST00000424047	OR4F2P
ENSG00000230724	ENST00000382784	AC069287.7-1
ENSG00000230724	ENST00000457006	AC069287.7-1
ENSG00000230724	ENST00000435244	AC069287.7-1
ENSG00000230724	ENST00000427071	AC069287.7-1
ENSG00000236557	ENST00000422356	CR381653.11-1
ENSG00000237755	ENST00000445709	CR381653.11-2
ENSG00000226743	ENST00000435119	AC069287.7-2
ENSG00000230827	ENST00000421394	CR381653.11-3
ENSG00000212858	ENST00000391546	CR381653.11-4
ENSG00000220841	ENST00000420439	CR381653.11-5
ENSG00000177951	ENST00000410108	BET1L
ENSG00000177951	ENST00000382762	BET1L
ENSG00000177951	ENST00000325147	BET1L
ENSG00000177951	ENST00000332865	BET1L
ENSG00000226459	ENST00000425193	CR382285.2
ENSG00000212913	ENST00000391600	CR382287.7-1
ENSG00000215783	ENST00000400891	CR382287.7-2
ENSG00000188076	ENST00000342878	SCGB1C1
ENSG00000232291	ENST00000430916	AF254982.4-1
ENSG00000225517	ENST00000445094	AF254982.4-2
ENSG00000231803	ENST00000449932	AF254982.4-3
ENSG00000232449	ENST00000424773	AF254982.4-4
ENSG00000232449	ENST00000456599	AF254982.4-4
ENSG00000232449	ENST00000422789	AF254982.4-4
ENSG00000177947	ENST00000325113	ODF3
ENSG00000177947	ENST00000342593	ODF3
ENSG00000224996	ENST00000457258	AF254982.4-5
ENSG00000229517	ENST00000442981	AF254982.4-6
ENSG00000169861	ENST00000302092	IGHV1OR15-9
ENSG00000235476	ENST00000411878	AF254982.2
ENSG00000223925	ENST00000456889	AF254982.3
ENSG00000177963	ENST00000325207	RIC8A
ENSG00000215398	ENST00000400208	CR383658.1-1
ENSG00000226895	ENST00000451589	AC144568.2
ENSG00000196143	ENST00000359695	OR11H12
ENSG00000176269	ENST00000320901	OR4F21
ENSG00000214392	ENST00000398262	CR383656.1
ENSG00000223508	ENST00000413776	AC131281.7
ENSG00000172748	ENST00000308811	ZNF596
ENSG00000172748	ENST00000320552	ZNF596
ENSG00000172748	ENST00000398612	ZNF596
ENSG00000172748	ENST00000382859	ZNF596
ENSG00000232410	ENST00000449506	NF1L4
ENSG00000232410	ENST00000442368	NF1L4
ENSG00000142082	ENST00000382743	SIRT3
ENSG00000142082	ENST00000324945	SIRT3
ENSG00000182366	ENST00000330148	FAM87A
ENSG00000222036	ENST00000409832	AL512624.5-1
ENSG00000166157	ENST00000361285	TPTE
ENSG00000166157	ENST00000298232	TPTE
ENSG00000166157	ENST00000342420	TPTE
ENSG00000166157	ENST00000359693	TPTE
ENSG00000166157	ENST00000341326	TPTE
ENSG00000166157	ENST00000328758	TPTE
ENSG00000225210	ENST00000432001	AL589743.1
