Name	Filename	ReadableName	Source
ABCTransporter_GO0042626	ABCTransporter_GO0042626.txt	ABC Transporter (GO)	Gene Ontology
AdherensJunction_KEGGhsa04520	AdherensJunction_KEGGhsa04520.txt	Adherens Junction Pathway (KEGG)	KEGG
Alpha6Beta4IntegrinPathway_CCMP	Alpha6Beta4IntegrinPathway_CCMP.txt	Alpha6Beta4 Integrin Pathway (CCMP)	Cancer Cell Map Pathway via MSKCC Cancer Genes
AmlCancer_KEGGhsa05221	AmlCancer_KEGGhsa05221.txt	AML Cancer Pathway (KEGG)	KEGG
Amplification_SangerCGC	Amplification_SangerCGC.txt	Amplification (CGC)	Sanger CGC via MSKCC Cancer Genes
AndrogenReceptorPathway_CCMP	AndrogenReceptorPathway_CCMP.txt	Androgen Receptor Pathway (CCMP)	Cancer Cell Map Pathway via MSKCC Cancer Genes
AntineoplasticTargets_DrugBank	AntineoplasticTargets_DrugBank.txt	Antineoplastic Targets (DrugBank)	DrugBank
Apoptosis_KEGGhsa04210	Apoptosis_KEGGhsa04210.txt	Apoptosis Pathway (KEGG)	KEGG
BasalCellCancer_KEGGhsa05217	BasalCellCancer_KEGGhsa05217.txt	Basal Cell Cancer Pathway (KEGG)	KEGG
BladderCancer_KEGGhsa05219	BladderCancer_KEGGhsa05219.txt	Bladder Cancer Pathway (KEGG)	KEGG
CancerGeneCensusPlus_Sanger	CancerGeneCensusPlus_Sanger.txt	Cancer Gene Census Plus (MG)	Malachi Griffith
CancerGeneCensus_Sanger	CancerGeneCensus_Sanger.txt	Cancer Gene Census (Sanger)	Sanger Cancer Gene Census
CancerGenes_Futreal2004	CancerGenes_Futreal2004.txt	Cancer Genes (Futreal review)	Futreal 2004 Review
CancerGenes_HahnAndWeinberg2002	CancerGenes_HahnAndWeinberg2002.txt	Cancer Genes (Hann and Weinberg review)	Hahn And Weinberg 2002 Review
CancerGenes_Mitelman2000	CancerGenes_Mitelman2000.txt	Cancer Genes (Mitelman review)	Mitelman 2000 Review
CancerGenes_Vogelstein2004	CancerGenes_Vogelstein2004.txt	Cancer Genes (Vogelstein review)	Vogelstein 2004 Review
CellCycle_KEGGhsa04110	CellCycle_KEGGhsa04110.txt	Cell Cycle (GO)	KEGG
CellSurface_GO0009986	CellSurface_GO0009986.txt	Cell Surface (GO)	Gene Ontology
CmlCancer_KEGGhsa05220	CmlCancer_KEGGhsa05220.txt	CML Cancer Pathway (KEGG)	KEGG
ColorectalCancer_KEGGhsa05210	ColorectalCancer_KEGGhsa05210.txt	Colorectal Cancer Pathway (KEGG)	KEGG
CytokineReceptor_KEGGhsa04060	CytokineReceptor_KEGGhsa04060.txt	Cytokine Receptor Pathway (KEGG)	KEGG
DNARepair_GO0006281	DNARepair_GO0006281.txt	DNA Repair (GO)	Gene Ontology
DrugMetabolism_GO0017144	DrugMetabolism_GO0017144.txt	Drug Metabolism (GO)	Gene Ontology
DrugResistance_GO0042493	DrugResistance_GO0042493.txt	Drug Resistance (GO)	Gene Ontology
