UniProtKB	B4DY26	TGFBR1		GO:0005025	GO_REF:0000019|Ensembl:ENSRNOP00000009452	IEA	Ensembl:ENSRNOP00000009452	F	cDNA FLJ58645, highly similar to TGF-beta receptor type-1 (EC 2.7.11.30)	B4DY26_HUMAN|IPI00005733|TGFBR1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9J1R3	ACVR1		GO:0005025	GO_REF:0000019|Ensembl:ENSMUSP00000088453	IEA	Ensembl:ENSMUSP00000088453	F	Uncharacterized protein	ACVR1|C9J1R3_HUMAN|IPI00917815	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9JHJ7	ACVR1		GO:0005025	GO_REF:0000019|Ensembl:ENSMUSP00000088453	IEA	Ensembl:ENSMUSP00000088453	F	Uncharacterized protein	ACVR1|C9JHJ7_HUMAN|IPI00917175	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9JW28	ACVR1		GO:0005025	GO_REF:0000019|Ensembl:ENSMUSP00000088453	IEA	Ensembl:ENSMUSP00000088453	F	Uncharacterized protein	ACVR1|C9JW28_HUMAN|IPI00917000	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	D6RGW8	BMPR1B		GO:0005025	GO_REF:0000019|Ensembl:ENSMUSP00000029948	IEA	Ensembl:ENSMUSP00000029948	F	Uncharacterized protein	BMPR1B|D6RGW8_HUMAN|IPI00966204	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	F5GY91	ACVR1		GO:0005025	GO_REF:0000019|Ensembl:ENSMUSP00000088453	IEA	Ensembl:ENSMUSP00000088453	F	Uncharacterized protein	ACVR1|F5GY91_HUMAN|IPI01011207	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	F8VVC4	TGFBR1		GO:0005025	GO_REF:0000019|Ensembl:ENSRNOP00000009452	IEA	Ensembl:ENSRNOP00000009452	F	Uncharacterized protein	F8VVC4_HUMAN|TGFBR1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	P36897	TGFBR1		GO:0005025	PMID:8752209	IDA		F	TGF-beta receptor type-1	ALK5|IPI00005733|IPI00844074|IPI01018344|Q6IR47|Q706C0|Q706C1|SKR4|TGFBR1|TGFR1_HUMAN	protein	taxon:9606	20090115	BHF-UCL
UniProtKB	P37023	ACVRL1		GO:0005025	PMID:8242742	IDA		F	Serine/threonine-protein kinase receptor R3	A6NGA8|ACVL1_HUMAN|ACVRL1|ACVRLK1|ALK1|IPI01013348	protein	taxon:9606	20100603	UniProtKB
UniProtKB	Q04771	ACVR1		GO:0005025	GO_REF:0000019|Ensembl:ENSMUSP00000088453	IEA	Ensembl:ENSMUSP00000088453	F	Activin receptor type-1	ACVR1|ACVR1_HUMAN|ACVRLK2|IPI00029219	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E9PER6	PDPK1		GO:0004676	GO_REF:0000019|Ensembl:ENSMUSP00000099991	IEA	Ensembl:ENSMUSP00000099991	F	Uncharacterized protein	E9PER6_HUMAN|IPI00216646|PDPK1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	O15530	PDPK1		GO:0004676	PMID:9368760	IDA		F	3-phosphoinositide-dependent protein kinase 1	IPI00002538|IPI00216646|IPI00216647|PDK1|PDPK1|PDPK1_HUMAN|Q6FI20|Q8IV52|Q9BRD5	protein	taxon:9606	20090227	BHF-UCL
UniProtKB	E7EUY0	PRKDC		GO:0004677	GO_REF:0000002|InterPro:IPR012582	IEA	InterPro:IPR012582	F	Uncharacterized protein	E7EUY0_HUMAN|IPI00376215|PRKDC	protein	taxon:9606	20120107	InterPro
UniProtKB	P52926	HMGA2		GO:0004677	PMID:19549901	IDA		F	High mobility group protein HMGI-C	HMGA2|HMGA2_HUMAN|HMGIC|IPI00005996	protein	taxon:9606	20110824	UniProtKB
UniProtKB	P78527	PRKDC		GO:0004677	PMID:15194694	IDA		F	DNA-dependent protein kinase catalytic subunit	HYRC|HYRC1|IPI00296337|IPI00376215|P78528|PRKDC|PRKDC_HUMAN|Q13327|Q13337|Q14175|Q59H99|Q7Z611|Q96SE6|Q9UME3	protein	taxon:9606	20101104	MGI
