UniProtKB	Q14728	MFSD10		GO:0015904	PMID:8353488	TAS		P	Major facilitator superfamily domain-containing protein 10	IPI00103940|MFS10_HUMAN|MFSD10|Q07706|TETRAN	protein	taxon:9606	20120107	GOC
UniProtKB	A6NE42	TGIF1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000021534	IEA	Ensembl:ENSRNOP00000021534	P	TGFB-induced factor (TALE family homeobox), isoform CRA_c	A6NE42_HUMAN|A6NLU7|hCG_1994498|IPI00334558|TGIF|TGIF1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	A6NL99	AQP7P3		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000012974	IEA	Ensembl:ENSRNOP00000012974	P	Putative aquaporin-7-like protein 3	AQP73_HUMAN|AQP7P3|IPI00878464	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	A8K4E2	FOS		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000021674	IEA	Ensembl:ENSMUSP00000021674	P	Uncharacterized protein	A8K4E2_HUMAN|FOS|hCG_22355|IPI00033008	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	A8MYL5	ACACA		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000050703	IEA	Ensembl:ENSRNOP00000050703	P	Uncharacterized protein	A8MYL5_HUMAN|ACACA|IPI00796495	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	A9UJN9	PDGFB		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000023196	IEA	Ensembl:ENSRNOP00000023196	P	Uncharacterized protein	A9UJN9_HUMAN|IPI00877974|LL22NC03-10C3.2-004|PDGFB	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	A9UJP0	PDGFB		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000023196	IEA	Ensembl:ENSRNOP00000023196	P	Uncharacterized protein	A9UJP0_HUMAN|IPI00872126|LL22NC03-10C3.2-003|PDGFB	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	B0AZS6	YWHAZ		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000030885	IEA	Ensembl:ENSRNOP00000030885	P	Uncharacterized protein	B0AZS6_HUMAN|IPI00789337|YWHAZ	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	B1AH87	TSPO		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000014089	IEA	Ensembl:ENSRNOP00000014089	P	Uncharacterized protein	B1AH87_HUMAN|IPI00902656|RP3-526I14.4-005|TSPO	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	B1ALB6	NCF2		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000060733	IEA	Ensembl:ENSRNOP00000060733	P	Uncharacterized protein	B1ALB6_HUMAN|IPI00641413|NCF2|RP1-127C7.5-005	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	B1ALB7	NCF2		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000060733	IEA	Ensembl:ENSRNOP00000060733	P	Neutrophil cytosolic factor 2	B1ALB7_HUMAN|IPI00641875|NCF2|RP1-127C7.5-004	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	B3KUK2	SOD2		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000025794	IEA	Ensembl:ENSRNOP00000025794	P	Superoxide dismutase	B3KUK2_HUMAN|IPI00022314|SOD2	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	B4DI13	MLH1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000043097	IEA	Ensembl:ENSRNOP00000043097	P	MutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli), isoform CRA_a	B4DI13_HUMAN|hCG_17142|IPI00742734|MLH1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	B4DJE7	ACADM		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000013238	IEA	Ensembl:ENSRNOP00000013238	P	Uncharacterized protein	ACADM|B4DJE7_HUMAN|IPI01014812	protein	taxon:9606	20120107	ENSEMBL
